model	objective	gene	status	value
./model.xml	obj	G_b1185	optimal	0.876997214426967
./model.xml	obj	G_b1186	optimal	0.8769972144269715
./model.xml	obj	G_b1189	optimal	0.876997214426969
./model.xml	obj	G_b1190	optimal	0.8769972144269683
./model.xml	obj	G_b1192	optimal	0.8769972144269744
./model.xml	obj	G_b1193	optimal	0.8769972144269786
./model.xml	obj	G_b1197	optimal	0.8769972144269675
./model.xml	obj	G_b1198	optimal	0.8769972144269723
./model.xml	obj	G_b1199	optimal	0.8769972144269723
./model.xml	obj	G_b1200	optimal	0.8769972144269743
./model.xml	obj	G_b1206	optimal	0.8769972144269746
./model.xml	obj	G_b1207	optimal	0.8769972144269675
./model.xml	obj	G_b1208	optimal	0.0
./model.xml	obj	G_b1210	optimal	0.0
./model.xml	obj	G_b1215	optimal	2.168135796756956e-15
./model.xml	obj	G_b1216	optimal	0.8769972144269715
./model.xml	obj	G_b1223	optimal	0.8769972144269748
./model.xml	obj	G_b1224	optimal	0.8769972144269722
./model.xml	obj	G_b1225	optimal	0.8769972144269672
./model.xml	obj	G_b1226	optimal	0.8769972144269665
./model.xml	obj	G_b1227	optimal	0.8769972144269619
./model.xml	obj	G_b1232	optimal	0.8769972144269673
./model.xml	obj	G_b1236	optimal	0.8769972144269675
./model.xml	obj	G_b1238	optimal	0.8769972144269658
./model.xml	obj	G_b1241	optimal	0.8769972144269743
./model.xml	obj	G_b1243	optimal	0.8769972144269677
./model.xml	obj	G_b1244	optimal	0.8769972144269672
./model.xml	obj	G_b1245	optimal	0.8769972144269719
./model.xml	obj	G_b1246	optimal	0.8769972144269789
./model.xml	obj	G_b1247	optimal	0.8769972144269688
./model.xml	obj	G_b1249	optimal	0.8769972144269688
./model.xml	obj	G_b1250	optimal	0.8769972144269738
./model.xml	obj	G_b1252	optimal	0.876997214426969
./model.xml	obj	G_b1260	optimal	0.0
./model.xml	obj	G_b1261	optimal	-9.113169064027916e-17
./model.xml	obj	G_b1262	optimal	0.0
./model.xml	obj	G_b1263	optimal	3.5719927290087653e-16
./model.xml	obj	G_b1264	optimal	0.0
./model.xml	obj	G_b1270	optimal	0.8769972144269688
./model.xml	obj	G_b1276	optimal	0.8769972144269652
./model.xml	obj	G_b1277	optimal	6.565190768459478e-17
./model.xml	obj	G_b1278	optimal	0.8769972144269744
./model.xml	obj	G_b1281	optimal	-1.6927399468914375e-16
./model.xml	obj	G_b1285	optimal	0.8769972144269688
./model.xml	obj	G_b1288	optimal	2.4080868173063703e-16
./model.xml	obj	G_b1291	optimal	0.8769972144269665
./model.xml	obj	G_b1296	optimal	0.8769972144269652
./model.xml	obj	G_b1297	optimal	0.8769972144269709
./model.xml	obj	G_b1298	optimal	0.8769972144269665
./model.xml	obj	G_b1300	optimal	0.876997214426969
./model.xml	obj	G_b1301	optimal	0.8769972144269698
./model.xml	obj	G_b1302	optimal	0.8769972144269784
./model.xml	obj	G_b1308	optimal	0.8769972144269743
./model.xml	obj	G_b1317	optimal	0.8769972144269637
./model.xml	obj	G_b1319	optimal	0.8769972144269707
./model.xml	obj	G_b1325	optimal	0.8769972144269677
./model.xml	obj	G_b1326	optimal	0.8769972144269705
./model.xml	obj	G_b1329	optimal	0.8769972144269683
./model.xml	obj	G_b1330	optimal	0.8769972144269619
./model.xml	obj	G_b1336	optimal	0.876997214426976
./model.xml	obj	G_b1337	optimal	0.8769972144269715
./model.xml	obj	G_b1338	optimal	0.8769972144269683
./model.xml	obj	G_b1341	optimal	0.8769972144269675
./model.xml	obj	G_b1363	optimal	0.8769972144269731
./model.xml	obj	G_b1377	optimal	0.8769972144269709
./model.xml	obj	G_b1378	optimal	0.8769075284668413
./model.xml	obj	G_b1380	optimal	0.8769972144269604
./model.xml	obj	G_b1385	optimal	0.8769972144269752
./model.xml	obj	G_b1386	optimal	0.8769972144269672
./model.xml	obj	G_b1387	optimal	0.8769972144269691
./model.xml	obj	G_b1388	optimal	0.8769972144269688
./model.xml	obj	G_b1389	optimal	0.8769972144269738
./model.xml	obj	G_b1390	optimal	0.8769972144269629
./model.xml	obj	G_b1391	optimal	0.8769972144269677
./model.xml	obj	G_b1392	optimal	0.8769972144269743
./model.xml	obj	G_b1393	optimal	0.8769972144269683
./model.xml	obj	G_b1394	optimal	0.8769972144269743
./model.xml	obj	G_b1395	optimal	0.8769972144269665
./model.xml	obj	G_b1396	optimal	0.8769972144269588
./model.xml	obj	G_b1397	optimal	0.8769972144269654
./model.xml	obj	G_b1398	optimal	0.8769972144269665
./model.xml	obj	G_b1400	optimal	0.8769972144269694
./model.xml	obj	G_b1415	optimal	0.8769972144269722
