Rxn name	Formula	Gene-reaction association	LB	UB	Objective
R_CRNtex	L-Carnitine[e] <=> L-Carnitine[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_CS	Acetyl-CoA[c] + H2O H2O[c] + Oxaloacetate[c] => Citrate[c] + Coenzyme A[c] + H+[c] 	G_b0720	  0.00	1000.00	  0.00
R_CS1tex	Cesium ion[e] <=> Cesium ion[p] 	G_b0929 or G_b2215 or G_b0241 or G_b1377	-1000.00	1000.00	  0.00
R_CSND	Cytosine[c] + H2O H2O[c] + H+[c] => Ammonium[c] + Uracil[c] 	G_b0337	  0.00	1000.00	  0.00
R_CSNt2pp	Cytosine[p] + H+[p] => Cytosine[c] + H+[c] 	G_b0336	  0.00	1000.00	  0.00
R_CSNtex	Cytosine[e] <=> Cytosine[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_CTBTCAL2	ATP C10H12N5O13P3[c] + Coenzyme A[c] + Crotonobetaine[c] => ADP C10H12N5O10P2[c] + Crotonobetainyl-CoA[c] + Phosphate[c] 	G_b0037	  0.00	1000.00	  0.00
R_CTBTabcpp	ATP C10H12N5O13P3[c] + Crotonobetaine[p] + H2O H2O[c] => ADP C10H12N5O10P2[c] + Crotonobetaine[c] + H+[c] + Phosphate[c] 	G_b2678 and G_b2677 and G_b2679	  0.00	1000.00	  0.00
R_CTBTt2rpp	Crotonobetaine[p] + H+[p] <=> Crotonobetaine[c] + H+[c] 	G_b4111	-1000.00	1000.00	  0.00
R_CTECOAI6	Tetradecenoyl-CoA (n-C14:1CoA)[c] <=> Trans-Tetradec-2-enoyl-CoA[c] 	G_b3846	-1000.00	1000.00	  0.00
R_CTECOAI7	Hexadecenoyl-CoA (n-C16:1CoA)[c] <=> Trans-Hexadec-2-enoyl-CoA[c] 	G_b3846	-1000.00	1000.00	  0.00
R_CTECOAI8	Octadecenoyl-CoA (n-C18:1CoA)[c] <=> Trans-Octadec-2-enoyl-CoA[c] 	G_b3846	-1000.00	1000.00	  0.00
R_CTPS2	ATP C10H12N5O13P3[c] + L-Glutamine[c] + H2O H2O[c] + UTP C9H11N2O15P3[c] => ADP C10H12N5O10P2[c] + CTP C9H12N3O14P3[c] + L-Glutamate[c] + 2 H+[c] + Phosphate[c] 	G_b2780	  0.00	1000.00	  0.00
R_CU1Opp	4 Cu+[p] + 4 H+[p] + O2 O2[p] => 4 Copper[p] + 2 H2O H2O[p] 	G_b0123	  0.00	1000.00	  0.00
R_CU1abcpp	ATP C10H12N5O13P3[c] + Cu+[c] + H2O H2O[c] => ADP C10H12N5O10P2[c] + Cu+[p] + H+[c] + Phosphate[c] 	G_b0484	  0.00	1000.00	  0.00
R_CU2abcpp	ATP C10H12N5O13P3[c] + Copper[c] + H2O H2O[c] => ADP C10H12N5O10P2[c] + Copper[p] + H+[c] + Phosphate[c] 	G_b3469	  0.00	1000.00	  0.00
R_CU2tex	Copper[e] <=> Copper[p] 	G_b1377 or G_b2215 or G_b0241 or G_b0929	-1000.00	1000.00	  0.00
R_CU2tpp	Copper[p] => Copper[c] 	G_b3040	  0.00	1000.00	  0.00
R_CURR	Curcumin[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] => Dihydrocurcumin[c] + Nicotinamide adenine dinucleotide phosphate[c] 	G_b1449	  0.00	1000.00	  0.00
R_CUt2pp	Cu+[c] => Cu+[p] 	G_b3291 or G_b0465 or G_b1330 or G_b0577 or G_b4159 or G_b2924 or G_b0808	  0.00	1000.00	  0.00
R_CUt3	Cu+[c] + H+[e] => Cu+[e] + H+[c] 	G_b0572 and G_b0574 and G_b0573 and G_b0575	  0.00	1000.00	  0.00
R_CUtex	Cu+[e] <=> Cu+[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_CXSAMS	S-Adenosyl-L-methionine[c] + Prephenate[c] => Carboxy-S-adenosyl-L-methionine[c] + H2O H2O[c] + Phenylpyruvate[c] 	G_b1870	  0.00	1000.00	  0.00
R_CYANST	Hydrogen cyanide[c] + Thiosulfate[c] => H+[c] + Sulfite[c] + Thiocyanate[c] 	G_b3425 or G_b2668 or G_b2521	  0.00	1000.00	  0.00
R_CYANSTpp	Hydrogen cyanide[p] + Thiosulfate[p] => H+[p] + Sulfite[p] + Thiocyanate[p] 	G_b1308	  0.00	1000.00	  0.00
R_CYANtex	Hydrogen cyanide[e] <=> Hydrogen cyanide[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_CYNTAH	Cyanate[c] + 3 H+[c] + Bicarbonate[c] => 2 CO2 CO2[c] + Ammonium[c] 	G_b0340	  0.00	1000.00	  0.00
R_CYNTt2pp	Cyanate[p] + H+[p] => Cyanate[c] + H+[c] 	G_b0341	  0.00	1000.00	  0.00
R_CYNTtex	Cyanate[e] <=> Cyanate[p] 	G_b2215 or G_b0241 or G_b0929 or G_b1377	-1000.00	1000.00	  0.00
R_CYSDDS	D-Cysteine[c] + H2O H2O[c] => Hydrogen sulfide[c] + Ammonium[c] + Pyruvate[c] 	G_b1919	  0.00	1000.00	  0.00
R_CYSDS	L-Cysteine[c] + H2O H2O[c] => Hydrogen sulfide[c] + Ammonium[c] + Pyruvate[c] 	G_b3008 or G_b3708	  0.00	1000.00	  0.00
R_CYSDabcpp	ATP C10H12N5O13P3[c] + D-Cysteine[p] + H2O H2O[c] => ADP C10H12N5O10P2[c] + D-Cysteine[c] + H+[c] + Phosphate[c] 		  0.00	1000.00	  0.00
R_CYSDtex	D-Cysteine[e] <=> D-Cysteine[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_CYSItex	L Cystine C6H12N2O4S2[e] <=> L Cystine C6H12N2O4S2[p] 	G_b0929 or G_b0241 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_CYSItpp	L Cystine C6H12N2O4S2[c] => L Cystine C6H12N2O4S2[p] 	G_b3943	  0.00	1000.00	  0.00
R_CYSS	O-Acetyl-L-serine[c] + Hydrogen sulfide[c] => Acetate[c] + L-Cysteine[c] + H+[c] 	G_b2421 or G_b2414	  0.00	1000.00	  0.00
R_CYSSADS	3-Sulfino-L-alanine[c] + 2 H+[c] => L-Alanine[c] + Sulfur dioxide[c] 	G_b2810 or G_b1680	  0.00	1000.00	  0.00
R_CYSTA	2-Oxoglutarate[c] + L-Cysteine[c] => L-Glutamate[c] + Mercaptopyruvate[c] 	G_b0928	  0.00	1000.00	  0.00
R_CYSTL	L-Cystathionine[c] + H2O H2O[c] => L-Homocysteine[c] + Ammonium[c] + Pyruvate[c] 	G_b3008 or G_b1622	  0.00	1000.00	  0.00
R_CYSabc2pp	ATP C10H12N5O13P3[c] + L-Cysteine[c] + H2O H2O[c] => ADP C10H12N5O10P2[c] + L-Cysteine[p] + H+[c] + Phosphate[c] 	G_b0887 and G_b0886	  0.00	1000.00	  0.00
R_CYSabcpp	ATP C10H12N5O13P3[c] + L-Cysteine[p] + H2O H2O[c] => ADP C10H12N5O10P2[c] + L-Cysteine[c] + H+[c] + Phosphate[c] 	G_b1918 and G_b1920 and G_b1917	  0.00	1000.00	  0.00
R_CYStex	L-Cysteine[e] <=> L-Cysteine[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_CYStpp	L-Cysteine[c] => L-Cysteine[p] 	G_b2578 or G_b1533	  0.00	1000.00	  0.00
R_CYTBD2pp	2 H+[c] + Menaquinol 8[c] + 0.5 O2 O2[c] => H2O H2O[c] + 2 H+[p] + Menaquinone 8[c] 	G_b0978 and G_b0979	  0.00	1000.00	  0.00
