reaction_id,reaction_equation,dead_end_test,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox
ACMUMtex,acmum_e --> acmum_p,acmum_e;acmum_p,ok,ok,ok,N/A
ACNAMt2pp,acnam_p + h_p --> acnam_c + h_c,acnam_c;acnam_p,ok,ok,ok,N/A
ACNAMtex,acnam_e <=> acnam_p,acnam_e;acnam_p,ok,ok,ok,N/A
ACNML,acnam_c --> acmana_c + pyr_c,acmana_c;acnam_c,ok,ok,ok,N/A
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,ok,ok,ACOAD1fr,ACOAD1fr,N/A
ACOAD1fr,b2coa_c + fadh2_c --> btcoa_c + fad_c,ok,ok,ACOAD1f,ACOAD1f,N/A
ACOAD2f,fad_c + hxcoa_c <=> fadh2_c + hx2coa_c,ok,ok,ok,ok,N/A
ACOAD3f,fad_c + occoa_c <=> fadh2_c + oc2coa_c,ok,ok,ok,ok,N/A
ACOAD4f,dcacoa_c + fad_c <=> dc2coa_c + fadh2_c,ok,ok,ok,ok,N/A
ACOAD5f,ddcacoa_c + fad_c <=> dd2coa_c + fadh2_c,ok,ok,ok,ok,N/A
ACOAD6f,fad_c + tdcoa_c <=> fadh2_c + td2coa_c,ok,ok,ok,ok,N/A
ACOAD7f,fad_c + pmtcoa_c <=> fadh2_c + hdd2coa_c,ok,ok,ok,ok,N/A
ACOAD8f,fad_c + stcoa_c <=> fadh2_c + od2coa_c,ok,ok,ok,ok,N/A
ACOATA,ACP_c + accoa_c <=> acACP_c + coa_c,ok,ok,ok,ok,N/A
ACODA,acorn_c + h2o_c --> ac_c + orn_c,ok,ok,ok,ok,N/A
ACOLIPAabctex,acolipa_p + atp_c + h2o_c --> acolipa_e + adp_c + h_c + pi_c,acolipa_e;acolipa_p,ok,ok,ok,N/A
ACONIs,acon_T_c <=> acon_C_c,acon_T_c,ok,ok,ok,N/A
ACONMT,acon_T_c + amet_c --> aconm_c + ahcys_c,acon_T_c;aconm_c,ok,ok,ok,N/A
ACONTa,cit_c <=> acon_C_c + h2o_c,ok,ok,ok,ok,N/A
ACONTb,acon_C_c + h2o_c <=> icit_c,ok,ok,ok,ok,N/A
ACOTA,acorn_c + akg_c <=> acg5sa_c + glu__L_c,only when going forwards,ok,ok,ok,N/A
ACOXT,accoa_c + oxa_c <=> ac_c + oxalcoa_c,only when going forwards,ok,ok,ok,N/A
ACP1_FMN,fmn_c + h2o_c --> pi_c + ribflv_c,ok,ok,ok,ok,N/A
ACP1p,fmn_p + h2o_p --> pi_p + ribflv_p,ribflv_p,ok,ok,ok,N/A
ACPPAT120,ddcaACP_c + h_c + pi_c --> ACP_c + ddcap_c,ok,ok,ok,ok,N/A
ACPPAT140,h_c + myrsACP_c + pi_c --> ACP_c + ttdcap_c,ok,ok,ok,ok,N/A
ACPPAT141,h_c + pi_c + tdeACP_c --> ACP_c + ttdceap_c,ok,ok,ok,ok,N/A
ACPPAT160,h_c + palmACP_c + pi_c --> ACP_c + hdcap_c,ok,ok,ok,ok,N/A
ACPPAT161,h_c + hdeACP_c + pi_c --> ACP_c + hdceap_c,ok,ok,ok,ok,N/A
ACPPAT180,h_c + ocdcaACP_c + pi_c --> ACP_c + ocdcap_c,ok,ok,ok,ok,N/A
ACPPAT181,h_c + octeACP_c + pi_c --> ACP_c + ocdceap_c,ok,ok,ok,ok,N/A
ACPS1,apoACP_c + coa_c --> ACP_c + h_c + pap_c,apoACP_c,ok,ok,ok,N/A
ACS,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,ok,ok,ok,ok,N/A
ACSERtex,acser_e <=> acser_p,only when going forwards,ok,ok,ok,N/A
ACSERtpp,acser_c --> acser_p,ok,ok,ok,ok,N/A
ACt2rpp,ac_p + h_p <=> ac_c + h_c,only when going forwards,ok,ok,ok,N/A
ACt4pp,ac_p + na1_p --> ac_c + na1_c,ok,ok,ok,ok,N/A
ACtex,ac_e <=> ac_p,only when going forwards,ok,ok,ok,N/A
ADA,adn_c + h2o_c + h_c --> ins_c + nh4_c,ok,ok,ok,ok,N/A
ADCL,4adcho_c --> 4abz_c + h_c + pyr_c,ok,ok,ok,ok,N/A
ADCS,chor_c + gln__L_c --> 4adcho_c + glu__L_c,ok,ok,ok,ok,N/A
ADD,ade_c + h2o_c + h_c --> hxan_c + nh4_c,ok,ok,ok,ok,N/A
ADEt2rpp,ade_p + h_p <=> ade_c + h_c,only when going forwards,ok,ok,ok,N/A
ADEtex,ade_e <=> ade_p,only when going forwards,ok,ok,ok,N/A
ADK1,amp_c + atp_c <=> 2 adp_c,ok,ok,ok,ok,N/A
ADK3,amp_c + gtp_c <=> adp_c + gdp_c,ok,ok,ok,ok,N/A
